Prey_Name,Prey_Name_Clean,Prey_Name_Networks,taxonomic_rank,descriptive,commercial_species,buckley_grouping,pollock_grouping,cod_grouping,sablefish_grouping,halibut_grouping,OUTDATEDphylum_grouping,outdated_stock_arrowtooth,stock_groupings,stock_arrowtooth,stock_halibut,stock_pollock,stock_cod,network_grouping,gam_grouping,sable_group,atka_group,POP_grouping,flathead_groupings,srs_groupings
Misc Mollusca,Mollusca,Mollusca,phylum,mollusk,,Other Prey,Invert,Invert,Invert,Invert,mollusca,other,other,other,other,other,other,Mollusca,other,other,other,other,other,other
Myctophidae,Myctophidae,Myctophidae,family,lanternfish,Forage,Fishes,Forage Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Myctophidae,other,other fish,other,other fish,other fish,other fish
Mysidacea,Mysidacea,Mysidacea,order (outdated),shrimp-like crustacean (opossum shrimp),,Mysids,Mysidacea,Invert,Invert,Invert,zooplankton,zooplankton,zooplankton,other,zooplankton,zooplankton,zooplankton,Mysidacea,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
Misc Non-teleost fish,Non-teleost fish,Non-teleost fish,,not ray finned,,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Non-teleost fish,other,other fish,other,other fish,other fish,other fish
Octopoda,Octopoda,Octopoda,order,octopus,Target,Other Prey,Invert,Invert,Octopoda,Octopoda,mollusca,other,other,other,other,other,other,Octopoda,other,octopus,other,other,other,other
Offal,Offal,Offal,other,organs/waste,,Other Prey,Other,Offal,Offal,Offal,other,other,other,other,other,other,other,Offal,other,offal,other,other,other,other
Brittle Star,Ophiurida,Ophiurida,order,brittle star,,Other Prey,Invert,Invert,Invert,Invert,echinodermata,other,other,other,other,other,other,Ophiurida,other,other,other,other,brittle star,brittle star
Osmerid,Osmeridae,Osmeridae,family,"smelt, capelin",Forage,Fishes,Osmerid,Osmerid,Osmerid,Osmerid,forage fish,forage fish,forage fish,forage fish,forage fish,forage fish,forage fish,Osmeridae,Forage fish,forage fish,other,other fish,forage fish,forage fish
Paguridae,Paguridae,Paguridae,family,Hermit crab,,Other Prey,Crab,Paguridae,Crab,Paguridae,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Paguridae,Paguridae,Arthropoda,other,Arthropoda,Paguridae,Arthropoda
Pandalidae (shrimp),Pandalidae,Pandalidae,family,Alaska pink shrimp,,Shrimps,Pandalidae (shrimp),Pandalidea (shrimp),Shrimp,Shrimp,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Pandalidae,Pandalidae,Arthropoda,other,Arthropoda,Pandalidae,Arthropoda
Red King Crab,Paralithodes camtschaticus,Paralithodes camtschaticus,species,king crab,,Other Prey,Crab,Crab,Crab,Crab,arthropoda,arthropoda,commercial crab,commercial crab,commercial crab,commercial crab,commercial crab,Paralithodes camtschaticus,other,Arthropoda,other,arthropoda,commercial crab,arthropoda
Pholidae,Pholidae,Pholidae,family,gunnels,Forage,Fishes,Fish,Fish,Fish,Fish,forage fish,forage fish,other fish,other fish,other fish,other fish,other fish,Pholidae,other,other fish,other,other fish,other fish,other fish
Atka Mackeral,Pleurogrammus monopterygius,Pleurogrammus monopterygius,species,mackeral,Target,Fishes,Fish,Atka Mackeral,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Pleurogrammus monopterygius,other,other fish,other,other fish,other fish,other fish
Alaska plaice,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,species,flatfish,Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,flatfish,flatfish,flatfish,other fish,other fish,Pleuronectes quadrituberculatus,other,other fish,other,other fish,other fish,flatfish
Misc Flatfish,Pleuronectiformes,Pleuronectiformes,order,flatfish,Target,Fishes,Fish,Fish,Fish,Misc Flatfish,fish,fish,flatfish,flatfish,flatfish,other fish,other fish,Pleuronectiformes,other,other fish,other,other fish,other fish,flatfish
Polychaeta,Polychaeta,Polychaeta,class,polychaete worm,,Other Prey,Invert,Polychaeta,Invert,Invert,zooplankton,zooplankton,benthic invertebrate,other,other,other,benthic invert,Polychaeta,other,benthic invertebrate,other,benthic invertebrate,benthic invertebrate,Polychaeta
Rajadae,Rajidae,Rajidae,family,skates,Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Rajidae,other,other fish,other,other fish,other fish,other fish
Greenland turbot,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,species,flatfish,Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,flatfish,flatfish,flatfish,other fish,other fish,Reinhardtius hippoglossoides,other,other fish,other,other fish,other fish,flatfish
Salmonidae,Salmonidae,Salmonidae,family,salmon,Target,Fishes,Fish,Fish,Fish,Salmonidae,fish,fish,salmon,other fish,salmon,other fish,other fish,Salmonidae,other,other fish,other,other fish,other fish,salmon
Sebastes,Sebastes sp.,Sebastes sp.,genus,rockfishes,Target,Fishes,Fish,Fish,Sebastes,Sebastes,fish,fish,rockfish,other fish,rockfish,other fish,other fish,Sebastes sp.,other,other fish,other,other fish,other fish,other fish
Unid Rockfish,Sebastes sp.,Sebastes sp.,genus,unidentified rockfish,Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,rockfish,other fish,rockfish,other fish,other fish,Sebastes sp.,other,other fish,other,other fish,other fish,other fish
Sebastelobus,Sebastolobus sp.,Sebastolobus sp.,genus,thornyhead fish,,Fishes,Fish,Fish,Sebastelobus,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Sebastolobus sp.,other,other fish,other,other fish,other fish,other fish
Stichaeidae,Stichaeidae,Stichaeidae,family,prickleback fish,Forage,Fishes,Forage Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Stichaeidae,other,other fish,other,other fish,other fish,other fish
Misc Teleost,Teleostei unid,Teleostei unid,class,ray finned fishes,,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Teleostei unid,other,other fish,other,other fish,other fish,other fish
Teuthida,Teuthida,Teuthida,order,squid,Ecosystem Component,Other Prey,Invert,Invert,Teuthida,Invert,mollusca,other,other,other,other,other,other,Teuthida,other,squid,other,other,other,other
Pteropoda,Thecosomata,Thecosomata,order,free swimming sea slugs (gastropod),,Other Prey,Invert,Invert,Invert,Invert,mollusca,other,other,other,other,other,other,Thecosomata,other,other,other,other,other,other
Pacific sandfish,Trichodon trichodon,Trichodon trichodon,species,sandfish,Forage,Fishes,Forage Fish,Fish,Fish,Fish,forage fish,forage fish,other fish,other fish,other fish,other fish,other fish,Trichodon trichodon,other,other fish,other,other fish,other fish,other fish
Tunicate,Tunicata,Tunicata,subphylum,tunicate,,Other Prey,Invert,Invert,Invert,Invert,other,other,other,other,other,other,other,Tunicata,other,other,other,other,other,other
Misc,Unid,Unid,other,misc,,Other Prey,Other,Other,Other,Other,other,other,other,other,other,other,other,Unid,other,other,other,other,other,other
Misc Org,Unid,Unid,other,Other,,Other Prey,Other,Other,Other,Other,other,other,other,other,other,other,other,Unid,other,other,other,other,other,other
Unid Eggs,Unid Eggs,Unid Eggs,other,unidentified eggs,,Other Prey,Other,Other,Other,Other,zooplankton,zooplankton,zooplankton,other,zooplankton,zooplankton,zooplankton,Unid Eggs,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
Zoarcoidae,Zoarcidae,Zoarcidae,family,ray finned fishes eelpouts,,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Zoarcidae,other,other fish,other,other fish,other fish,other fish
